Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2024,19042,48,48144,Sainte-Croix-Vallée-Française,2024-02-08 16:50:00,20200,19800.0,400.0,0.0,0.0,0.0,,,,,Mesurées,5.0,,,,,Données partielles ou non valides,Involontaire (particulier),0
2024,22979,66,66060,Corsavy,2024-09-13 23:29:00,100,100.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2023,4783,13,13105,Sénas,2023-05-09 19:20:00,10,10.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2023,21615,83,83001,Les Adrets-de-l'Estérel,2023-06-10 14:05:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Naturelle,0
2022,18847,13,13026,Châteauneuf-les-Martigues,2022-07-01 13:12:00,50,50.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,15734,6,6137,Spéracèdes,2022-06-11 10:49:00,47200,17200.0,30000.0,,,,,,,,,5.0,,,,,,Involontaire (travaux),0
2024,22396,34,34066,Cazevieille,2024-09-01 20:33:00,138,0.0,138.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2022,17359,2B,2B079,Castello-di-Rostino,2022-07-14 18:29:00,15000,10000.0,5000.0,,,,,,,,,2.0,,,,,,Malveillance,1
2023,21447,83,83051,Entrecasteaux,2023-03-11 10:47:00,1350,1350.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (particulier),0
2022,1228,49,49301,Sèvremoine,2022-07-08 15:39:00,300,0.0,,300.0,,,300.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2024,22762,13,13002,Allauch,2024-07-25 21:00:00,2,2.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2022,15260,13,13047,Istres,2022-05-16 13:26:00,40000,40000.0,,,,,,,,,,1.0,,,,,,Accidentelle,0
2024,28543,30,30136,Junas,2024-08-24 16:15:00,183,183.0,,,,,,,,,Mesurées,,Non,,,,,Malveillance,1
2024,22599,6,6007,Auribeau-sur-Siagne,2024-09-02 16:18:00,50,0.0,50.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2023,1226,6,6103,Roquebillière,2023-03-31 15:09:00,1000,0.0,1000.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2024,25870,11,11004,Alaigne,2024-11-30 15:23:00,4200,200.0,0.0,0.0,4000.0,0.0,,,,,Mesurées,2.0,Non,,,,,Involontaire (particulier),0
2022,7274,61,61456,Saint-Sulpice-sur-Risle,2022-07-17 16:35:52,1000,0.0,,1000.0,,,1000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2022,13951,2B,2B183,Ogliastro,2022-02-25 10:56:00,200,,,,,,,,,,,,,,,,,Malveillance,1
2024,21269,13,13101,Saint-Savournin,2024-07-21 15:28:00,5,5.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Naturelle,0
2023,22110,24,24386,Saint-Cernin-de-l'Herm,2023-08-16 15:30:00,1,1.0,,0.0,0.0,0.0,,,,,Mesurées,,Non,0.0,0.0,0.0,,Involontaire (particulier),0
2024,22819,13,13040,Fuveau,2024-08-12 19:28:00,50,50.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2022,7122,61,61413,Saint-Lambert-sur-Dive,2022-09-19 15:46:02,100000,0.0,,100000.0,,,100000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2024,20647,11,11258,Moussan,2024-03-19 18:22:00,4000,4000.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0
2022,3428,60,60612,Senlis,2022-05-15 10:25:00,10,0.0,,10.0,,,10.0,0.0,0.0,0.0,Estimées,,,,,,,Accidentelle,0
2023,13778,32,32290,Montréal,2023-05-28 16:53:00,200,200.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2022,21003,11,11164,Ginestas,2022-12-04 15:25:00,5400,,,,,,,,,,,,,,,,,Involontaire (travaux),0
2022,18272,2A,2A278,Serra-di-Scopamène,2022-08-11 15:31:00,5,,5.0,,,,,,,,,1.0,,,,,,Accidentelle,0
2022,9387,16,16372,Souffrignac,2022-07-12 12:05:00,40000,10000.0,,,30000.0,,,,,,Estimées,,Non,,,,,Accidentelle,0
2024,19343,15,15082,Junhac,2024-04-08 19:30:00,80000,30000.0,,50000.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,17316,34,34036,Le Bosc,2022-07-26 03:14:00,834,,834.0,,,,,,,,,1.0,,,,,,Malveillance,1
2023,13118,74,74279,Thollon-les-Mémises,2023-08-04 17:35:00,60,60.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2024,28853,7,7144,Loubaresse,2024-03-21 15:38:00,60000,0.0,60000.0,0.0,0.0,0.0,,,,,Estimées,5.0,Non,,,,,Involontaire (travaux),0
2022,18975,13,13025,Châteauneuf-le-Rouge,2022-09-08 18:05:00,100,100.0,,,,,,,,,,1.0,,,,,,Accidentelle,0
2023,19814,33,33236,Lège-Cap-Ferret,2023-02-26 09:37:31,1,1.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Malveillance,1
2023,5523,2B,2B185,Oletta,2023-07-21 19:37:00,1000,0.0,1000.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,21764,4,4090,Le Fugeret,2022-01-16 13:23:00,221200,221200.0,,,,,,,,,,5.0,,,,,,Involontaire (travaux),0
2023,21349,83,83002,Aiguines,2023-01-07 15:09:00,100000,0.0,100000.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Accidentelle,0
2022,20272,66,66042,Cassagnes,2022-10-04 19:23:00,100,,100.0,,,,,,,,,1.0,,,,,,Malveillance,1
2024,22784,66,66207,Terrats,2024-08-26 22:25:00,500,0.0,500.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2024,24897,11,11441,Vinassan,2024-09-11 21:03:00,950,950.0,0.0,0.0,0.0,0.0,,,,,Mesurées,3.0,Non,,,,,Malveillance,1
2022,2619,71,71164,Curtil-sous-Burnand,2022-08-03 08:00:00,5,0.0,,5.0,,,5.0,0.0,0.0,0.0,Estimées,,,,,,,Malveillance,1
2024,28837,7,7093,Genestelle,2024-03-22 14:59:00,8000,0.0,8000.0,0.0,0.0,0.0,,,,,Estimées,5.0,Non,,,,,Involontaire (travaux),0
2024,22870,13,13063,Miramas,2024-08-04 18:53:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (particulier),0
2023,3318,2B,2B182,Occhiatana,2023-06-20 21:29:00,30,0.0,30.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,7330,61,61129,Courgeon,2022-05-13 15:20:37,8000,0.0,,8000.0,,,8000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,6775,13,13041,Gardanne,2023-07-26 19:00:00,10,10.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Accidentelle,0
2022,11610,33,33300,Naujac-sur-Mer,2022-06-19 05:45:00,10000,10000.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Naturelle,0
2023,20003,33,33205,Illats,2023-08-14 08:07:28,1000,1000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Accidentelle,0
2023,3726,11,11053,Brugairolles,2023-02-20 17:09:00,200,0.0,200.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0
2022,18186,2A,2A174,Murzo,2022-08-08 17:54:00,100,100.0,,,,,,,,,,4.0,,,,,,Naturelle,0
2022,5595,974,97404,L'Étang-Salé,2022-11-08 14:10:00,14566,14566.0,,0.0,,,0.0,0.0,0.0,0.0,Mesurées,,,,,,,Malveillance,1
2023,17343,40,40221,Perquie,2023-09-11 22:19:00,10,10.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Naturelle,0
2022,18942,13,13103,Salon-de-Provence,2022-08-12 16:58:00,50,50.0,,,,,,,,,,1.0,,,,,,Accidentelle,0
2024,21253,13,13043,Gignac-la-Nerthe,2024-07-15 15:36:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2022,15818,83,83072,Lorgues,2022-05-29 19:02:00,2,2.0,,,,,,,,,,4.0,,,,,,Involontaire (travaux),0
2023,11361,2B,2B013,Alzi,2023-10-22 13:01:00,8000,5000.0,3000.0,0.0,0.0,0.0,,,,,Estimées,2.0,Non,,,,,Malveillance,1
2022,17056,66,66039,Caramany,2022-02-05 12:36:00,10000,,10000.0,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2022,13606,2B,2B354,Vivario,2022-01-05 11:10:00,10000,10000.0,,,,,,,,,,5.0,,,,,,Malveillance,1
2022,7279,61,61294,Mortrée,2022-07-17 14:52:36,500,0.0,,500.0,,,500.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,14685,66,66166,Sahorre,2023-10-31 09:07:00,800,800.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2023,3307,56,56009,Bangor,2023-06-21 13:22:00,15000,15000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,18944,13,13040,Fuveau,2022-08-12 14:56:00,100,100.0,,,,,,,,,,1.0,,,,,,Accidentelle,0
2022,14270,13,13071,Les Pennes-Mirabeau,2022-03-28 00:44:00,500,500.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,282,41,41032,Chailles,2022-04-03 13:28:00,30,0.0,,30.0,,,30.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (particulier),0
2022,7319,61,61427,Saint-Martin-l'Aiguillon,2022-06-16 14:41:47,5000,0.0,,5000.0,,,5000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,21751,83,83032,Carcès,2023-08-12 21:02:00,1,1.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,Données partielles ou non valides,Involontaire (particulier),0
2022,19112,13,13022,Cassis,2022-07-27 15:32:00,2900,2900.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,8560,13,13051,Lançon-Provence,2023-08-16 17:02:00,50,50.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (travaux),0
2022,18167,83,83039,Châteauvert,2022-08-15 10:48:00,20,20.0,,,,,,,,,,3.0,,,,,,Naturelle,0
2023,1274,13,13047,Istres,2023-01-25 13:26:00,60,60.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Accidentelle,0
2022,7194,61,61460,Sap-en-Auge,2022-08-05 18:57:35,200000,0.0,,200000.0,,,200000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,14219,66,66008,Argelès-sur-Mer,2023-04-21 10:02:00,5,0.0,5.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,2052,29,29207,Plourin-lès-Morlaix,2022-06-09 15:55:00,300,0.0,,300.0,,,300.0,0.0,0.0,0.0,Estimées,,,,,,,Accidentelle,0
2022,16320,30,30296,Saint-Roman-de-Codières,2022-07-09 17:57:00,84,84.0,,,,,,,,,,3.0,,,,,,Accidentelle,0
2022,15792,13,13060,Meyreuil,2022-01-12 14:57:00,400,400.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2022,508,46,46187,Mauroux,2022-05-29 19:12:00,5000,0.0,,5000.0,,,5000.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (particulier),0
2024,21234,13,13001,Aix-en-Provence,2024-07-09 18:38:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (travaux),0
2023,3738,11,11203,Lézignan-Corbières,2023-03-31 15:58:00,600,600.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Accidentelle,0
2023,21484,83,83108,La Roquebrussanne,2023-04-02 16:22:00,10,0.0,10.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Naturelle,0
2022,14245,4,4187,Saint-Lions,2022-04-12 15:50:00,150,150.0,,,,,,,,,,,,,,,,Involontaire (particulier),0
2023,21665,83,83008,Bagnols-en-Forêt,2023-07-14 13:42:00,50,0.0,50.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,Données partielles ou non valides,Accidentelle,0
2022,15195,13,13110,Trets,2022-06-01 16:05:00,1600,1600.0,,,,,,,,,,1.0,,,,,,Involontaire (travaux),0
2024,520,34,34277,Saint-Maurice-Navacelles,2024-02-04 10:19:00,30519,0.0,30519.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0
2023,21467,83,83068,Grimaud,2023-03-25 09:32:00,20,0.0,20.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (particulier),0
2024,18772,2B,2B073,Casamaccioli,2024-03-23 11:59:00,800000,0.0,800000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2022,11421,33,33225,Landiras,2022-07-12 16:31:00,125520000,125520000.0,,0.0,,,0.0,0.0,0.0,0.0,Mesurées,,Non,,,,,Malveillance,1
2024,22800,13,13001,Aix-en-Provence,2024-08-17 12:20:00,560,560.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Accidentelle,0
2023,115,6,6077,Lucéram,2023-02-11 23:14:00,2000,0.0,2000.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2022,16667,4,4210,Soleilhas,2022-01-02 17:39:00,1500,1500.0,,,,,,,,,,,,,,,,Involontaire (travaux),0
2022,2498,81,81027,Belleserre,2022-07-30 17:55:00,110000,0.0,,10000.0,,,10000.0,0.0,100000.0,100000.0,Estimées,,,,,,,Malveillance,1
2022,18373,34,34281,Saint-Pargoire,2022-07-12 18:17:00,1478,1478.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,15543,34,34072,Celles,2022-06-06 15:30:00,12500,12500.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,17705,34,34221,Puéchabon,2022-07-26 21:50:00,154863,,154863.0,,,,,,,,,1.0,,,,,,Malveillance,1
2022,7123,61,61474,Gouffern en Auge,2022-09-17 18:39:20,3000,0.0,,3000.0,,,3000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,14068,66,66019,Bélesta,2023-03-10 15:42:00,10,0.0,10.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,18814,13,13103,Salon-de-Provence,2022-06-22 17:27:00,1500,1500.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,86,6,6157,Vence,2023-02-01 11:34:00,180900,0.0,180900.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2024,19332,13,13045,Graveson,2024-04-13 17:01:00,30,30.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2022,15582,13,13110,Trets,2022-06-12 15:57:00,500,500.0,,,,,,,,,,1.0,,,,,,Involontaire (travaux),0
2023,11507,2A,2A212,Piana,2023-04-27 13:44:00,300,0.0,300.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2024,22766,13,13005,Aubagne,2024-09-04 14:02:00,2,2.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Naturelle,0
2023,1342,2B,2B213,Pianello,2023-03-28 13:06:00,63000,0.0,63000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2023,6127,5,5182,Villar-Loubière,2023-07-19 11:37:00,4,4.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Naturelle,0
2022,21895,5,5022,Bréziers,2022-02-07 12:21:00,9600,8300.0,1300.0,,,,,,,,,5.0,,,,,,Malveillance,1
2022,2096,71,71155,Cronat,2022-07-25 14:54:00,100,0.0,,100.0,,,100.0,0.0,0.0,0.0,Estimées,,,,,,,Malveillance,1
2022,19929,13,13079,Puyloubier,2022-10-26 12:07:00,15000,15000.0,,,,,,,,,,1.0,,,,,,Involontaire (travaux),0
2022,16026,11,11253,Montolieu,2022-06-17 15:00:00,10400,,,,,,,,,,,,,,,,,Involontaire (travaux),0
2023,3744,11,11379,Sigean,2023-04-12 00:27:00,300,100.0,200.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Accidentelle,0
2024,20962,66,66063,Les Cluses,2024-07-17 19:24:00,1000,1000.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2023,7072,13,13041,Gardanne,2023-08-04 23:15:00,10000,10000.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2023,3728,11,11435,Villerouge-Termenès,2023-03-01 12:19:00,50,50.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0
2023,1202,48,48041,Chastanier,2023-03-24 15:06:00,10000,0.0,10000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (travaux),0
2022,14256,13,13005,Aubagne,2022-03-26 15:12:00,120000,120000.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,1345,2B,2B124,Ghisoni,2023-03-30 10:49:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,4.0,Non,,,,,Malveillance,1
2024,24942,11,11116,Cuxac-d'Aude,2024-09-29 19:03:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Mesurées,3.0,Non,,,,,Malveillance,1
2022,18504,11,11372,Salsigne,2022-08-15 00:08:00,700,,,,,,,,,,,,,,,,,Malveillance,1
2022,7312,61,61491,Tourouvre au Perche,2022-07-03 18:12:57,900,0.0,,900.0,,,900.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,11181,11,11397,Trèbes,2023-10-20 17:47:00,100,0.0,100.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0
2022,7131,61,61117,Condé-sur-Sarthe,2022-09-04 13:44:27,200000,0.0,,200000.0,,,200000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,13224,48,48198,Villefort,2023-12-25 14:12:00,9600,4000.0,0.0,5600.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (particulier),0
2022,15638,48,48116,Pont de Montvert - Sud Mont Lozère,2022-02-05 14:49:00,10000,,10000.0,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,1014,2B,2B352,Ville-di-Paraso,2023-03-07 06:54:00,10000,0.0,10000.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,20015,2B,2B292,Sant'Andréa-di-Bozio,2022-10-22 13:44:00,55000,,,,,,,,,,,1.0,,,,,,Malveillance,1
2023,8592,13,13067,Orgon,2023-09-01 14:57:00,400,400.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2024,28816,7,7139,Laviolle,2024-08-23 14:01:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Estimées,3.0,Non,,,,,Accidentelle,0
2023,21533,83,83141,Trans-en-Provence,2023-04-18 10:27:00,150,0.0,150.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (particulier),0
2023,90,5,5173,Upaix,2023-02-05 16:09:00,20,20.0,,,,,,,,,Estimées,5.0,Non,,,,,Involontaire (particulier),0
2022,14166,7,7215,Saint-Barthélemy-le-Meil,2022-04-04 14:29:00,15000,,15000.0,,,,,,,,,1.0,,,,,,Involontaire (travaux),0
2023,21810,83,83118,Saint-Raphaël,2023-09-13 14:22:00,40,0.0,40.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (travaux),0
2022,25,15,15045,Chaudes-Aigues,2022-02-10 16:10:00,150000,150000.0,,0.0,,,0.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2024,28102,84,84026,Cadenet,2024-08-18 21:13:00,600,600.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2022,15656,48,48070,Grandrieu,2022-03-24 15:34:00,10000,,10000.0,,,,,,,,,1.0,,,,,,Involontaire (travaux),0
2023,610,48,48096,Meyrueis,2023-02-20 14:20:00,631000,0.0,631000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (travaux),0
2024,22310,11,11122,Douzens,2024-08-02 02:23:00,10000,0.0,10000.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Accidentelle,0
2022,7212,61,61447,Saint-Pierre-du-Regard,2022-07-30 18:17:07,200000,0.0,,200000.0,,,200000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2023,3691,11,11170,Gruissan,2023-02-02 17:36:00,1,0.0,1.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0
2023,17216,40,40075,Castets,2023-02-10 17:04:00,50,50.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (travaux),0
2022,21817,6,6153,Valdeblore,2022-02-26 14:22:00,70000,30000.0,40000.0,,,,,,,,,4.0,,,,,,Involontaire (particulier),0
2022,18862,13,13098,Saint-Mitre-les-Remparts,2022-07-05 15:32:00,700,700.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2024,28815,7,7296,Saint-Sernin,2024-08-31 19:42:00,400,0.0,400.0,0.0,0.0,0.0,,,,,Estimées,5.0,Non,,,,,Involontaire (particulier),0
2024,19394,34,34235,Rosis,2024-04-24 14:13:00,711,711.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (travaux),0
2022,18688,66,66176,Saint-Hippolyte,2022-08-02 15:39:00,10000,,,,,,,,,10000.0,,6.0,,,,,,Malveillance,1
2022,15742,26,26295,Saint-Barthélemy-de-Vals,2022-06-19 13:56:00,110000,110000.0,,,,,,,,,,2.0,,,,,,Malveillance,1
2022,17703,34,34329,Vendres,2022-07-26 18:10:00,138560,,138560.0,,,,,,,,,,,,,,,Malveillance,1
2024,28921,19,19227,Saint-Mexant,2024-03-23 15:12:08,400,400.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (travaux),0
2022,21668,2A,2A006,Alata,2022-05-27 12:52:00,20,,20.0,,,,,,,,,,,,,,,Accidentelle,0
2023,7616,11,11144,Fitou,2023-08-09 14:07:00,1000,1000.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Accidentelle,0
2022,11391,33,33205,Illats,2022-08-03 04:16:00,800,800.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Accidentelle,0
2023,3701,11,11188,La Palme,2023-02-15 15:27:00,800,0.0,800.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0
2022,21742,30,30337,Vallabrix,2022-08-07 16:59:00,15,,,,,,,,,,,,,,,,,Involontaire (travaux),0
2022,10831,40,40134,Labouheyre,2022-06-01 11:49:00,30,30.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Naturelle,0
2022,5701,56,56191,Réminiac,2022-06-16 09:06:00,200,0.0,,200.0,,,200.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2023,7275,34,34187,Olargues,2023-08-04 18:38:00,216,216.0,0.0,0.0,0.0,0.0,,,,,Mesurées,2.0,Non,,,,,Malveillance,1
2022,214,15,15175,Saint-Cernin,2022-03-23 16:46:00,10000,0.0,,10000.0,,,10000.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2022,7316,61,61426,Saint-Martin-du-Vieux-Bellême,2022-06-21 19:32:21,3000,0.0,,3000.0,,,3000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2022,18196,7,7217,Saint-Barthélemy-le-Plain,2022-08-09 10:42:00,44000,44000.0,,,,,,,,,,3.0,,,,,,Accidentelle,0
2022,21844,7,7107,Jaujac,2022-02-21 18:35:00,1000,1000.0,,,,,,,,,,4.0,,,,,,Accidentelle,0
2022,7262,61,61444,Saint-Philbert-sur-Orne,2022-07-18 21:09:03,15000,0.0,,15000.0,,,15000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2022,2297,67,67425,Saint-Jean-Saverne,2022-07-07 10:16:00,2,2.0,,0.0,,,0.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2022,19699,13,13019,Cabriès,2022-02-15 16:49:00,5,5.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2024,25370,34,34162,Montagnac,2024-12-20 17:55:00,3900,0.0,3900.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2022,16283,5,5140,Saint-Étienne-le-Laus,2022-07-09 09:56:00,700,200.0,,,,,,,,500.0,,4.0,,,,,,Malveillance,1
2024,22109,5,5061,Gap,2024-08-22 08:00:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2023,4120,56,56034,Carnac,2023-07-06 14:48:00,600,600.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,7288,61,61421,Saint-Mars-d'Égrenne,2022-07-15 14:15:17,100000,0.0,,100000.0,,,100000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2024,19749,66,66205,Tautavel,2024-06-13 15:45:00,500,0.0,500.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2024,27207,2A,2A040,Bocognano,2024-11-11 11:32:00,200,0.0,200.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2022,5722,976,97616,Sada,2022-10-26 00:00:00,15000,0.0,,15000.0,,,15000.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2023,11038,5,5036,Châteauroux-les-Alpes,2023-10-28 17:04:00,40,40.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2023,14079,66,66149,Prades,2023-03-15 11:41:00,3000,3000.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2022,16193,5,5039,Aubessagne,2022-06-23 21:06:00,3,3.0,0.0,,,,,,,0.0,,5.0,,,,,,Naturelle,0
2023,16111,84,84085,Murs,2023-07-07 19:34:00,30,30.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
