Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2022,14776,30,30198,Les Plantiers,2022-05-07 19:16:00,3050,3050.0,,,,,,,,,,3.0,,,,,,Accidentelle,0
2022,12013,33,33248,Listrac-Médoc,2022-05-19 04:59:00,3000,3000.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Naturelle,0
2024,28278,2A,2A254,Quenza,2024-08-19 17:05:00,112000,2000.0,110000.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Naturelle,0
2022,19701,13,13056,Martigues,2022-09-19 07:47:00,10,10.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,6059,56,56176,Pluneret,2022-07-16 08:51:00,10,0.0,,10.0,,,10.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2022,19719,13,13087,Rousset,2022-10-18 16:29:00,5000,5000.0,,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,11904,2B,2B190,Olmi-Cappella,2023-11-21 11:59:00,28000,0.0,28000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2024,27201,2A,2A254,Quenza,2024-09-05 09:56:00,10,0.0,10.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2024,22225,6,6144,La Tour,2024-08-27 18:31:00,200,200.0,0.0,0.0,0.0,0.0,,,,,Estimées,4.0,Non,,,,,Naturelle,0
2023,20112,30,30075,Caveirac,2023-02-11 00:21:00,39,39.0,0.0,0.0,0.0,0.0,,,,,Mesurées,2.0,,,,,,Accidentelle,0
2024,29225,25,25489,Reugney,2024-11-09 15:12:00,25000,25000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2024,25154,50,50002,Agneaux,2024-08-30 16:05:00,1200,1200.0,,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2023,2664,26,26104,Cornillac,2023-01-28 14:05:00,5000,5000.0,0.0,0.0,0.0,0.0,,,,,Estimées,5.0,Non,,,,,Involontaire (particulier),0
2022,17567,2B,2B252,Pruno,2022-07-29 18:18:00,5,,,,,,,,,,,,,,,,,Malveillance,1
2024,26844,33,33203,Hourtin,2024-09-21 17:01:12,2,2.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Naturelle,0
2024,19336,13,13063,Miramas,2024-04-12 10:55:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Accidentelle,0
2023,4754,13,13001,Aix-en-Provence,2023-05-04 02:45:00,40,40.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2023,21549,83,83124,Seillans,2023-04-24 17:01:00,1,1.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (travaux),0
2022,19645,66,66176,Saint-Hippolyte,2022-08-19 14:24:00,20000,,,,,,,,,20000.0,,6.0,,,,,,Malveillance,1
2022,18557,34,34279,Saint-Nazaire-de-Ladarez,2022-08-06 22:40:00,1244,0.0,1244.0,,,,,,,,,1.0,,,,,,Malveillance,1
2024,20120,13,13077,Port-de-Bouc,2024-04-21 21:43:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Accidentelle,0
2023,3009,56,56201,Le Saint,2023-06-07 14:55:00,3000,3000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2022,17841,2B,2B354,Vivario,2022-08-07 15:56:00,20,,,,,,,,,,,,,,,,,Naturelle,0
2023,1323,13,13109,Le Tholonet,2023-04-02 17:25:00,400,400.0,,,,,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2023,13996,66,66123,Nyer,2023-02-20 15:14:00,10000,10000.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2023,1023,2B,2B039,Bisinchi,2023-03-10 10:49:00,1000,0.0,1000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2024,21260,13,13113,Venelles,2024-07-18 15:31:00,50,50.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2023,13937,66,66111,Montalba-le-Château,2023-02-02 16:13:00,19303,13400.0,5900.0,0.0,0.0,3.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2022,10794,23,23069,Crocq,2022-03-25 13:06:00,500,500.0,,0.0,,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (travaux),0
2022,5246,74,74118,Étrembières,2022-06-19 10:37:00,100,100.0,,0.0,,,0.0,0.0,0.0,0.0,Estimées,,,,,,,Accidentelle,0
2023,14260,66,66008,Argelès-sur-Mer,2023-05-08 15:52:00,40000,40000.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2022,15999,11,11393,Tourouzelle,2022-04-17 12:29:00,100,,,,,,,,,,,,,,,,,Involontaire (particulier),0
2022,8289,38,38325,Proveysieux,2022-08-07 10:20:00,200,200.0,,0.0,,,0.0,0.0,0.0,0.0,Estimées,,,,,,,Naturelle,0
2024,26555,17,17077,Cercoux,2024-09-02 17:16:00,10000,10000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2022,13823,6,6050,Coursegoules,2022-01-22 17:55:00,1500,,1500.0,,,,,,,,,1.0,,,,,,Malveillance,1
2023,17263,40,40142,Laluque,2023-06-20 11:45:00,3,3.0,,0.0,0.0,0.0,,,,,Mesurées,,Non,0.0,0.0,0.0,,Accidentelle,0
2022,21717,2A,2A215,Pianottoli-Caldarello,2022-11-04 13:09:00,4,,4.0,,,,,,,,,,,,,,,Involontaire (travaux),0
2024,20431,6,6105,Roquefort-les-Pins,2024-07-17 20:50:00,10,0.0,10.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2022,10560,47,47203,Penne-d'Agenais,2022-12-07 17:40:56,2,2.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (particulier),0
2022,18401,34,34119,Hérépian,2022-08-02 14:12:00,26,26.0,,,,,,,,,,2.0,,,,,,Malveillance,1
2024,19067,66,66179,Saint-Laurent-de-Cerdans,2024-03-13 11:32:00,75000,75000.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0
2023,10388,34,34092,Cruzy,2023-10-03 09:32:00,300,0.0,300.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2022,17528,2A,2A114,Figari,2022-07-30 12:55:00,93,,93.0,,,,,,,,,1.0,,,,,,Malveillance,1
